date,weight,price_krw,shares,cash_krw,realized_today_krw,buy_fee_krw,sell_fee_krw,equity_krw,taxed_equity_krw,year,realized_gain_krw,taxable_gain_krw,tax_paid_krw
2011-06-23,0.0,510.3851914405823,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-06-24,0.0,483.50509107112885,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-06-27,0.0,506.9999814033508,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-06-28,0.0,529.7499984502792,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-06-29,0.0,536.3852053880692,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-06-30,0.0,556.7653119564056,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-07-01,0.0,582.562506198883,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-07-05,0.0,590.957885980606,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-07-06,0.0,597.2550988197326,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-07-07,0.0,621.4272946119308,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-07-08,0.0,616.2819117307663,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-07-11,0.0,583.2398116588591,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-07-12,0.0,569.0203875303268,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-07-13,0.0,576.6046047210693,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-07-14,0.0,556.7653119564056,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-07-15,0.0,578.9069086313248,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-07-18,0.0,569.3596988916396,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-07-19,0.0,609.5102131366729,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-07-20,0.0,600.9795814752578,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-07-21,0.0,613.1670892238616,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-07-22,0.0,632.1925848722458,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-07-25,0.0,628.4693807363509,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-07-26,0.0,631.9221973419188,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-07-27,0.0,583.9846849441528,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-07-28,0.0,587.0995074510573,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-07-29,0.0,581.4119935035706,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-08-01,0.0,573.5573887825012,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-08-02,0.0,530.020385980606,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-08-03,0.0,543.7652856111526,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-08-04,0.0,469.7601914405823,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-08-05,0.0,459.4005018472671,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-08-08,0.0,378.6925941705703,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-08-09,0.0,430.55740892887115,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-08-10,0.0,379.77550029754633,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-08-11,0.0,428.5254925489425,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-08-12,0.0,439.42731320857996,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-08-15,0.0,458.3852022886276,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-08-16,0.0,446.60461246967316,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-08-17,0.0,439.3597066402435,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-08-18,0.0,375.6454169750213,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-08-19,0.0,354.5880049467087,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-08-22,0.0,357.77039527893066,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-08-23,0.0,402.0523101091385,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-08-24,0.0,411.53191328048706,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-08-25,0.0,391.7601883411407,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-08-26,0.0,420.06250619888306,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-08-29,0.0,455.8125108480453,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-08-30,0.0,465.088015794754,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-08-31,0.0,467.79719889163965,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-09-01,0.0,454.5943915843963,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-09-02,0.0,422.77041077613825,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-09-06,0.0,422.70280420780176,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-09-07,0.0,454.6619981527328,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-09-08,0.0,448.3647853136062,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-09-09,0.0,418.844386935234,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-09-12,0.0,434.55231785774225,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-09-13,0.0,451.4120012521743,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-09-14,0.0,470.9119826555252,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-09-15,0.0,492.3073887825012,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-09-16,0.0,505.1722019910812,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-09-19,0.0,506.4578890800476,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-09-20,0.0,499.281907081604,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-09-21,0.0,473.8903135061264,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-09-22,0.0,427.7818977832794,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-09-23,0.0,441.11991822719574,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-09-26,0.0,456.0828983783722,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-09-27,0.0,470.03189623355865,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-09-28,0.0,447.89029955863947,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-09-29,0.0,434.6198856830597,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-09-30,0.0,400.832912325859,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-10-03,0.0,369.41708922386164,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-10-04,0.0,391.8954014778137,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-10-05,0.0,421.6875046491623,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-10-06,0.0,443.3546155691146,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-10-07,0.0,434.21300649642944,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-10-10,0.0,478.7653088569641,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-10-11,0.0,488.9897853136062,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-10-12,0.0,496.84439003467554,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-10-13,0.0,510.1824104785919,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-10-14,0.0,538.2819086313248,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-10-17,0.0,513.3648008108139,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-10-18,0.0,531.9846957921981,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-10-19,0.0,501.31250619888306,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-10-20,0.0,494.9476867914199,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-10-21,0.0,512.5522822141646,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-10-24,0.0,544.5778042078017,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-10-25,0.0,513.7027949094771,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-10-26,0.0,511.6721957921981,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-10-27,0.0,552.9068946838378,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-10-28,0.0,554.7347128391266,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-10-31,0.0,527.2449135780334,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-11-01,0.0,486.41709387302393,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-11-02,0.0,498.4005033969879,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-11-03,0.0,528.7346988916396,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
2011-11-04,0.0,520.542100071907,0.0,100000000.0,0.0,0.0,0.0,100000000.0,100000000.0,,,,
